"","sex","CAc","APHV_resid.trend","SE","df","lower.CL","upper.CL","name"
"91","f",0.590050568900127,0.0171802092724928,0.01572169205715,564.332506747145,-0.0136999694008192,0.0480603879458048,"TH"
"92","m",0.590050568900127,-0.0224240144658448,0.0154412416775519,597.688772440466,-0.0527497016548006,0.00790167272311106,"TH"
"93","f",1.59005056890013,0.00700014684989856,0.0229642794988407,643.886992088791,-0.038093777695165,0.0520940713949621,"TH"
"94","m",1.59005056890013,0.0119663639213313,0.0211659748333182,664.995844148145,-0.0295938261135821,0.0535265539562447,"TH"
"95","f",2.59005056890013,-0.00317991557269568,0.0323500576656708,662.465117935647,-0.0667009165948143,0.060341085449423,"TH"
"96","m",2.59005056890013,0.0463567423085074,0.0315819500693431,636.477529596928,-0.0156606746011598,0.108374159218175,"TH"
"97","f",3.59005056890013,-0.0133599779952899,0.0424814770853593,664.969686646322,-0.096773966775096,0.0700540107845162,"TH"
"98","m",3.59005056890013,0.0807471206956834,0.0434361046038666,612.930209365577,-0.00455452089100615,0.166048762282373,"TH"
"99","f",-2.40994943109987,-0.00568868034933313,0.0294993020219626,627.697106463004,-0.0636179489520535,0.0522405882533873,"CMJ"
"100","m",-2.40994943109987,0.036089488938617,0.0369663851188945,553.482931101029,-0.036522076505609,0.108701054382843,"CMJ"
"101","f",-1.40994943109987,-0.010475031965877,0.020984770767828,681.22631513485,-0.0516776310970202,0.0307275671652662,"CMJ"
"102","m",-1.40994943109987,0.0313669716627277,0.0268742924608869,627.053737423912,-0.0214075377512106,0.084141481076666,"CMJ"
"103","f",-0.409949431099873,-0.0152613835824209,0.0154446528210287,670.941107430386,-0.0455870520624355,0.0150642848975937,"CMJ"
"104","m",-0.409949431099873,0.0266444543868384,0.0186217616756341,693.996590714534,-0.00991729140083314,0.06320620017451,"CMJ"
"105","f",0.590050568900127,-0.0200477351989648,0.0162707992899681,684.518262903097,-0.0519944021418911,0.0118989317439615,"CMJ"
"106","m",0.590050568900127,0.0219219371109491,0.0154964791695055,688.159884648388,-0.00850411694055473,0.0523479911624529,"CMJ"
"107","f",1.59005056890013,-0.0248340868155087,0.0227808127707342,669.321372177335,-0.0695645449872758,0.0198963713562584,"CMJ"
"108","m",1.59005056890013,0.0171994198350598,0.0200584189684455,586.645102627132,-0.022195635779066,0.0565944754491856,"CMJ"
"109","f",2.59005056890013,-0.0296204384320526,0.0316420110556292,619.002831291211,-0.0917591390123599,0.0325182621482547,"CMJ"
"110","m",2.59005056890013,0.0124769025591705,0.0288681125550744,466.232297701099,-0.0442508199112836,0.0692046250296245,"CMJ"
"111","f",3.59005056890013,-0.0344067900485965,0.0413701971107508,590.795405091327,-0.115657338756077,0.0468437586588839,"CMJ"
"112","m",3.59005056890013,0.00775438528328117,0.0391564058563495,427.994870252863,-0.0692083989860367,0.084717169552599,"CMJ"
"113","f",-2.40994943109987,-0.0061080500573405,0.052053595500204,717.797334071713,-0.108303541601177,0.0960874414864959,"DJ"
"114","m",-2.40994943109987,0.0814133900617545,0.0665481791787409,621.421832641548,-0.0492731784440469,0.212099958567556,"DJ"
"115","f",-1.40994943109987,-0.0258844156953387,0.0363517784396073,731.816661848799,-0.0972506226675252,0.0454817912768479,"DJ"
"116","m",-1.40994943109987,0.0465364590682714,0.0477146841078926,683.352184930223,-0.0471485346121457,0.140221452748689,"DJ"
"117","f",-0.409949431099873,-0.0456607813333368,0.0260206778841162,668.253697879481,-0.096752909787929,0.00543134712125528,"DJ"
"118","m",-0.409949431099873,0.0116595280747884,0.0321795062033284,729.157092321782,-0.051516010366705,0.0748350665162819,"DJ"
"119","f",0.590050568900127,-0.065437146971335,0.0278648245998206,692.80296206664,-0.120146777436039,-0.0107275165066312,"DJ"
